OR5J7P	ENST00000534621
RNA5-8SP6	ENST00000515896
RP3-417L20.4	ENST00000437859
MIR4427	ENST00000585213
RAD9B	ENST00000392672
RNU6-14P	ENST00000384630
RP11-111F5.2	ENST00000436561
SNORD72	ENST00000390994
AC074212.5	ENST00000592217
CTD-3110H11.1	ENST00000558372
RP11-90J7.2	ENST00000434440
ACTRT1	ENST00000371124
MIR377	ENST00000362145
CYFIP1	ENST00000313077
UGP2	ENST00000445915
RP11-296O14.1	ENST00000433683
RP11-564C4.4	ENST00000424971
OR5G3	ENST00000435756
OR5G3	ENST00000571556
RNA5SP311	ENST00000411290
RNU6-840P	ENST00000517275
RNU6-749P	ENST00000459351
CNOT3	ENST00000608127
CNOT3	ENST00000609054
CNOT3	ENST00000608864
CNOT3	ENST00000608738
CNOT3	ENST00000570970
CNOT3	ENST00000607899
CNOT3	ENST00000221232
CNOT3	ENST00000570333
CNOT3	ENST00000604940
RNA5SP384	ENST00000516615
RNU6-538P	ENST00000459237
RSPO4	ENST00000217260
OSTF1	ENST00000346234
FTLP16	ENST00000446400
RP11-74M11.2	ENST00000506195
COMMD4	ENST00000568301
RP11-428J1.4	ENST00000606227
AC013402.4	ENST00000424257
CBX5	ENST00000209875
LINC00572	ENST00000450264
TRAV27	ENST00000390457
IL2RG	ENST00000374202
RP11-651L5.2	ENST00000552486
PIGL	ENST00000225609
CMP21-97G8.2	ENST00000608289
RP4-754E20__A.5	ENST00000450750
FAM216A	ENST00000377673
VPS52	ENST00000448042
VPS52	ENST00000383210
VPS52	ENST00000428608
VPS52	ENST00000443860
VPS52	ENST00000441058
VPS52	ENST00000421357
VPS52	ENST00000445902
RNU6-318P	ENST00000384746
GAPDHP42	ENST00000406848
FBLIM1	ENST00000441801
RNU4-23P	ENST00000362839
RP11-123C5.5	ENST00000604510
AC009947.5	ENST00000444014
MIR5695	ENST00000579717
MIR888	ENST00000600838
MIR888	ENST00000401186
NUDT18	ENST00000309188
NKAPL	ENST00000343684
LOC440461	ENST00000592579
LOC440461	ENST00000589904
PIN4P1	ENST00000451079
DACT3	ENST00000391916
TRMT10A	ENST00000273962
SUGCT	ENST00000309930
AP000462.2	ENST00000535704
TMEM131	ENST00000186436
GPR176	ENST00000561100
C11orf31	ENST00000388857
C11orf30	ENST00000524767
C17orf70	ENST00000327787
C19orf40	ENST00000588258
DHRS4	ENST00000313250
RNA5SP471	ENST00000516971
RP11-273B19.2	ENST00000512898
TPP1	ENST00000299427
RP11-227H4.1	ENST00000465006
PCAT2	ENST00000523510
NPM1P11	ENST00000417106
RPS17P15	ENST00000475609
RP11-91I8.3	ENST00000577327
HMGN1P2	ENST00000445197
SPATA2P1	ENST00000431223
RP11-456O19.2	ENST00000589450
RP11-849H4.4	ENST00000502284
RAB4A	ENST00000366690
EXOSC4	ENST00000569065
EXOSC4	ENST00000527954
ACRC	ENST00000373695
CTA-242H14.1	ENST00000466070
AC069257.6	ENST00000441819
AC083899.3	ENST00000454465
MIR3178	ENST00000581887
PCGF1	ENST00000233630
NPRL2	ENST00000232501
CPSF1P1	ENST00000397477
RP11-384P14.1	ENST00000547795
RP11-521C20.2	ENST00000560376
RP11-59J16.2	ENST00000479610
PTBP2	ENST00000394184
SLURP1	ENST00000246515
NFKBIL1	ENST00000400285
NFKBIL1	ENST00000419122
NFKBIL1	ENST00000424652
NFKBIL1	ENST00000455376
NFKBIL1	ENST00000442947
NFKBIL1	ENST00000432160
NFKBIL1	ENST00000376148
LA16c-390E6.5	ENST00000566287
XXbac-B444P24.10	ENST00000438948
RP11-241I20.4	ENST00000435436
CTD-2616J11.15	ENST00000598746
MIR422A	ENST00000362286
RP11-708B6.2	ENST00000532929
AF131215.6	ENST00000532453
OR10J2P	ENST00000514684
NLRC3	ENST00000603507
OPLAH	ENST00000567069
OPLAH	ENST00000426825
FAM162B	ENST00000368557
CTD-2555A7.3	ENST00000562782
ARL9	ENST00000360096
RP11-119F7.3	ENST00000419176
RP11-266L9.3	ENST00000572236
RP11-93O14.2	ENST00000569353
RP13-1056D16.2	ENST00000463176
RP11-855C21.1	ENST00000524042
IGHA2	ENST00000605666
IGHA2	ENST00000390539
MRPL13	ENST00000306185
PCBP2	ENST00000359462
CYP4A22	ENST00000371891
STEAP3	ENST00000393110
NR4A1	ENST00000545748
RP1-14D6.7	ENST00000599290
RP1-14D6.7	ENST00000437309
AC096649.2	ENST00000449168
NDST1	ENST00000261797
RP11-12D5.4	ENST00000457557
GAPDH	ENST00000229239
TMEM170A	ENST00000561878
SFT2D2	ENST00000271375
ADRM1	ENST00000253003
RP11-428G5.6	ENST00000541142
RN7SL346P	ENST00000491561
CRPP1	ENST00000412857
RNA5SP495	ENST00000516458
AKR1C6P	ENST00000432950
SNRPGP17	ENST00000603780
OR10G6	ENST00000307002
SOX3	ENST00000370536
RPS8	ENST00000396651
AC114808.3	ENST00000437132
RNU6-1256P	ENST00000516539
NEFH	ENST00000310624
SLC14A1	ENST00000415427
CTB-161M19.1	ENST00000503783
RTN2	ENST00000245923
AP002954.3	ENST00000530198
AP002954.3	ENST00000599813
RFC2	ENST00000576908
RFC2	ENST00000055077
RP11-215P8.1	ENST00000471205
ADCY1	ENST00000297323
GSTO3P	ENST00000504733
CTB-186H2.3	ENST00000591669
RNU7-151P	ENST00000516930
NSMAF	ENST00000427130
RP5-826L7.1	ENST00000446476
AC020743.3	ENST00000457592
RP11-56F10.3	ENST00000522960
STAB2	ENST00000388887
RPL5	ENST00000370321
CARS2	ENST00000257347
RN7SL79P	ENST00000484117
AP5B1	ENST00000532090
RNA5SP202	ENST00000364315
RP11-575G13.2	ENST00000547380
RNU6-598P	ENST00000364017
RP5-843L14.1	ENST00000434176
NPR1	ENST00000368680
RP11-999E24.3	ENST00000563647
RP11-72M10.8	ENST00000526238
SPATA31A5	ENST00000377621
RNF112	ENST00000461366
BBS4	ENST00000395205
PTGER4P3	ENST00000458150
KRT84	ENST00000257951
RN7SL138P	ENST00000577405
RP11-118B22.4	ENST00000538219
RNU6-570P	ENST00000517051
FCGR1B	ENST00000369384
FCGR1B	ENST00000584115
SNORD115-6	ENST00000363942
PTPN11	ENST00000351677
RP5-1070G24.2	ENST00000466775
RP1-300G12.2	ENST00000435858
RNA5SP201	ENST00000410316
CCDC57	ENST00000389641
RP11-449O16.2	ENST00000438919
TTLL5	ENST00000298832
RP11-552O4.2	ENST00000583051
ZNF138	ENST00000307355
RP11-426L16.3	ENST00000421943
MTND5P26	ENST00000426018
RPL21P119	ENST00000403916
RNA5SP245	ENST00000364239
SPECC1L	ENST00000314328
CELA2A	ENST00000359621
LINC00449	ENST00000366259
GRAMD1A	ENST00000599564
SNORD58B	ENST00000607313
RNU6-581P	ENST00000516214
RNU6-917P	ENST00000516294
POLR3KP1	ENST00000449146
RP11-211A18.2	ENST00000435693
RP11-128L5.1	ENST00000517606
VHL	ENST00000256474
POU5F1P2	ENST00000521750
CTAGE10P	ENST00000318353
RP11-427E4.1	ENST00000406305
KANK2	ENST00000432929
ARHGDIG	ENST00000219409
CDH18	ENST00000274170
MTCYBP4	ENST00000401524
RNASEH1	ENST00000315212
RP11-799D4.3	ENST00000585646
TMEM205	ENST00000354882
CTD-2135J3.3	ENST00000506149
RP11-713P14.1	ENST00000474589
RP11-616M22.5	ENST00000566997
KIAA0408	ENST00000483725
C4A-AS1	ENST00000434058
C4A-AS1	ENST00000458633
C4A-AS1	ENST00000418856
C4A-AS1	ENST00000428125
C4A-AS1	ENST00000452819
BHLHE41	ENST00000242728
AC009120.10	ENST00000561669
RP11-318G8.1	ENST00000480211
RPS18	ENST00000211372
RPS18	ENST00000454021
RPS18	ENST00000440980
RPS18	ENST00000457341
RPS18	ENST00000439602
RPS18	ENST00000434122
RP11-223J15.2	ENST00000451300
PRNCR1	ENST00000519282
CTD-2510F5.6	ENST00000577660
CTC-523E23.9	ENST00000605008
CTC-459F4.6	ENST00000586818
SFSWAP	ENST00000541286
LINC00518	ENST00000496285
FAM83C	ENST00000374408
RP11-11C20.3	ENST00000605991
RP11-676F20.2	ENST00000528208
XX-C2158C6.3	ENST00000415530
HMGN1P34	ENST00000413023
RNA5SP517	ENST00000601755
RNA5SP517	ENST00000364724
RP11-163O19.8	ENST00000570097
RP11-163O19.8	ENST00000525742
IGHD2-21	ENST00000390572
IGHD2-21	ENST00000604055
RN7SL250P	ENST00000475154
OACYLP	ENST00000417918
KLHL1	ENST00000377844
OGFOD1P1	ENST00000447552
AJ003147.9	ENST00000576468
MS4A4E	ENST00000427611
CTD-2089N3.1	ENST00000510349
MIR676	ENST00000390702
CSRP3	ENST00000265968
RP1-111C20.4	ENST00000607391
SENP1	ENST00000004980
CCL27	ENST00000259631
SRSF1	ENST00000584773
TMEM38B	ENST00000374692
RP11-320J16.1	ENST00000605319
COX19	ENST00000457254
C22orf15	ENST00000305199
ZFP92	ENST00000597345
ZFP92	ENST00000338647
FAM19A3	ENST00000369630
DUSP2	ENST00000288943
RNU6-345P	ENST00000517001
RCAN3	ENST00000374395
ZBTB9	ENST00000414934
ZBTB9	ENST00000395064
AC011290.5	ENST00000438427
RP11-583F24.5	ENST00000532712
CCDC84	ENST00000334418
CCDC84	ENST00000573263
MIR339	ENST00000362153
RP4-562J12.1	ENST00000445747
PANX2	ENST00000395842
RNU6-1165P	ENST00000410119
WBP1LP5	ENST00000560907
RP11-414H17.5	ENST00000427630
RNU6-1035P	ENST00000384477
RP11-100K18.1	ENST00000577382
RP11-659P15.1	ENST00000526131
AHNAK2	ENST00000333244
GNL3LP1	ENST00000399458
OXA1L	ENST00000285848
HMGB3P30	ENST00000457863
TTI1	ENST00000373447
RPSA	ENST00000443003
CTNNB1	ENST00000349496
BTN1A1	ENST00000244513
RNU6-460P	ENST00000391158
FDPSP4	ENST00000534629
DACH1	ENST00000359684
INMT-FAM188B	ENST00000458257
CACNA2D3	ENST00000288197
AC018359.3	ENST00000442567
OR52N5	ENST00000317093
PARVG	ENST00000415224
RP11-65J3.2	ENST00000439014
CTC-232P5.1	ENST00000587836
MIR103A2	ENST00000362154
CORO1A	ENST00000219150
HSPA8P5	ENST00000456928
RP11-730N24.2	ENST00000502861
ZNF439	ENST00000304030
TNNC2	ENST00000372555
RN7SKP39	ENST00000410773
RP11-47I22.1	ENST00000556543
RP11-1109F11.5	ENST00000605051
DPRXP5	ENST00000604662
RPL26P37	ENST00000411983
TRGV5	ENST00000390344
DHRSX	ENST00000334651
C9orf135-AS1	ENST00000439418
RPSAP58	ENST00000354585
AC097463.1	ENST00000447288
OR2AT2P	ENST00000413438
C2orf57	ENST00000313965
LRRC53	ENST00000294635
RN7SL832P	ENST00000607781
ACTL6B	ENST00000160382
DCAF4L1	ENST00000333141
MIR548AV	ENST00000583040
TFCP2	ENST00000257915
RCN1	ENST00000054950
BAAT	ENST00000259407
SPATA9	ENST00000274432
HIST1H3G	ENST00000305910
VTA1	ENST00000367630
RN7SL850P	ENST00000579959
CDR1	ENST00000370532
ZCCHC4	ENST00000302874
RP11-726G23.12	ENST00000533569
RPL7AP33	ENST00000521552
AP000472.3	ENST00000452500
SMN2	ENST00000572839
SMN2	ENST00000380743
RP11-548K12.6	ENST00000412031
MAPRE1	ENST00000375571
NUTM2B	ENST00000429828
AC133104.2	ENST00000429100
MIR100	ENST00000385259
RP11-359B12.2	ENST00000503602
MT2P1	ENST00000294916
RP11-481H12.1	ENST00000415988
RNU6-623P	ENST00000363143
RP11-384D10.1	ENST00000509651
ANKH	ENST00000284268
RP11-160E2.17	ENST00000442355
EMC3-AS1	ENST00000326237
RP11-395L14.17	ENST00000272567
HMBOX1-IT1	ENST00000558292
RNU6-29P	ENST00000600250
RNU6-29P	ENST00000384637
POLE2	ENST00000216367
CABLES1	ENST00000256925
TPSP2	ENST00000561760
GAPDHP24	ENST00000328713
RP3-406P24.3	ENST00000415144
RP11-344N17.12	ENST00000413071
STX5	ENST00000294179
EPB42	ENST00000300215
HNRNPA1P15	ENST00000444886
AC013269.5	ENST00000409259
SNORA44	ENST00000517031
TRGV2	ENST00000426402
SMAD5-AS1	ENST00000297163
CTD-3023L14.2	ENST00000522661
VN1R20P	ENST00000425215
BPIFB1	ENST00000253354
AP002414.1	ENST00000391405
PPP1R12B	ENST00000336894
RP3-449M8.9	ENST00000602790
MIR5694	ENST00000581190
IDH1-AS1	ENST00000448588
ATF1P1	ENST00000406040
RP5-1125N11.1	ENST00000440358
TTTY8	ENST00000329684
RP3-414A15.11	ENST00000553394
CD63	ENST00000257857
CTD-2319I12.4	ENST00000586143
TINAG	ENST00000259782
ARL6IP1P3	ENST00000524544
HSPA8P19	ENST00000505359
MIR4309	ENST00000582498
PLA2G6	ENST00000332509
AP000998.2	ENST00000432412
CTD-2538G9.6	ENST00000601661
RPL7AP25	ENST00000423357
RN7SL153P	ENST00000486501
RP11-218F10.3	ENST00000609356
MIR4283-2	ENST00000582960
GPR61	ENST00000404129
PHF2P2	ENST00000444553
RP11-54P19.1	ENST00000512793
RP11-667F9.2	ENST00000453648
SPTB	ENST00000389722
GUSBP11	ENST00000455485
RP11-678G14.2	ENST00000594564
RP11-269G24.7	ENST00000606610
EEF1B2P4	ENST00000551398
RP11-382A20.6	ENST00000568441
H3F3BP2	ENST00000583907
H3F3BP2	ENST00000583971
CELA1	ENST00000293636
EMX1	ENST00000258106
PLGLA	ENST00000324709
RP11-609L23.1	ENST00000550337
HSPA2	ENST00000247207
TTTY6B	ENST00000253848
BACH1-IT3	ENST00000429843
AC006335.10	ENST00000445200
BCRP4	ENST00000506079
RP11-428L21.2	ENST00000510601
RNU6-882P	ENST00000391025
CTA-254O6.1	ENST00000561473
MEFV	ENST00000219596
RP4-539M6.18	ENST00000426397
OR13A1	ENST00000573291
OR13A1	ENST00000374401
TUBB6	ENST00000317702
RPN1	ENST00000296255
RN7SL369P	ENST00000477138
AC016909.1	ENST00000424510
ZNF101P1	ENST00000435701
LINC01055	ENST00000435067
DDX18P5	ENST00000534547
RNF151	ENST00000569714
ZSWIM2	ENST00000295131
AAMDC	ENST00000533193
SNORD36C	ENST00000516733
RP11-586E1.1	ENST00000507903
RNU6-1303P	ENST00000364841
RP11-101P17.14	ENST00000605401
DPRXP4	ENST00000578053
POLA1	ENST00000379068
MYCN	ENST00000281043
RASA3-IT1	ENST00000454005
MKL1	ENST00000355630
CTC-548H10.2	ENST00000512352
RP11-426L16.9	ENST00000566195
IGKV1-37	ENST00000465170
NDUFS5P2	ENST00000598931
AXIN2	ENST00000307078
LRRC8B	ENST00000330947
CTD-2568A17.1	ENST00000563228
KIF1C	ENST00000320785
MIR1285-1	ENST00000408593
IGKV2-24	ENST00000484817
CTC-467M3.3	ENST00000508719
RP11-886P16.6	ENST00000595706
SIX5	ENST00000317578
MRPS31P2	ENST00000451581
RP11-598D12.2	ENST00000566112
ZEB2-AS1	ENST00000427278
OSER1-AS1	ENST00000437730
KB-1460A1.2	ENST00000520411
RP11-1030E3.1	ENST00000586227
RP11-1030E3.1	ENST00000585353
CTD-3020H12.3	ENST00000595307
RP11-319E12.2	ENST00000511962
BCRP5	ENST00000514371
RP5-1050K3.3	ENST00000429337
GPM6BP1	ENST00000446387
RP1-84O15.2	ENST00000522460
RP11-845C23.3	ENST00000590318
KIAA0319	ENST00000378214
TMEM59	ENST00000234831
RP11-484M3.5	ENST00000490594
RPP21	ENST00000428040
RPP21	ENST00000411784
RPP21	ENST00000439624
RPP21	ENST00000422320
RPP21	ENST00000413228
RPP21	ENST00000430900
RPP21	ENST00000452262
IGLL1	ENST00000330377
PDGFD	ENST00000393158
IFNWP15	ENST00000442022
CCDC93	ENST00000376300
RP11-77H9.6	ENST00000570290
RP11-700J17.2	ENST00000610267
RP11-561P12.5	ENST00000542819
RP11-536C10.19	ENST00000548639
NADSYN1	ENST00000319023
RP11-573D15.3	ENST00000434957
RXFP4	ENST00000368318
RP11-617D20.2	ENST00000515436
RP11-428L21.1	ENST00000502570
TMX3	ENST00000299608
HIST2H3PS2	ENST00000583401
HIST2H3PS2	ENST00000392948
KB-1460A1.3	ENST00000518090
TTC16	ENST00000373289
U47924.31	ENST00000607421
U47924.31	ENST00000606151
COX10	ENST00000261643
EPHX4	ENST00000370383
ZNF131	ENST00000399534
KAT6A	ENST00000265713
AC078942.1	ENST00000448698
RP11-165M1.3	ENST00000569490
GNAI2P2	ENST00000417003
CTC-369A16.2	ENST00000510004
RN7SL344P	ENST00000485522
LARP4B	ENST00000316157
DNAH17	ENST00000389840
PPM1G	ENST00000344034
PKN2	ENST00000370521
FAM183A	ENST00000409396
RPL5P12	ENST00000477071
AC062016.3	ENST00000420950
RP11-191A15.2	ENST00000407885
SDHCP3	ENST00000445371
RP11-63A23.2	ENST00000559344
CTD-2619J13.13	ENST00000596379
BMS1P17	ENST00000550512
TFE3	ENST00000601543
TFE3	ENST00000315869
PIEZO1P1	ENST00000485427
RP11-1360M22.2	ENST00000560680
IGFL3	ENST00000341415
RNF220	ENST00000355387
TGS1	ENST00000260129
LPP-AS2	ENST00000605573
RP11-298D21.2	ENST00000563342
CTD-2006C1.2	ENST00000592187
RTCA	ENST00000260563
AJAP1	ENST00000378190
RP13-461N9.2	ENST00000446460
CDY18P	ENST00000438294
RNA5SP185	ENST00000390963
TNFAIP8	ENST00000513374
LRRC23	ENST00000007969
LRRC23	ENST00000598122
RP11-697N18.1	ENST00000508013
HMGB1P3	ENST00000502802
CTIF	ENST00000382998
AC114814.4	ENST00000444926
RP11-98L12.2	ENST00000555505
TGIF1	ENST00000330513
LY6G6C	ENST00000383413
LY6G6C	ENST00000428498
LY6G6C	ENST00000434915
LY6G6C	ENST00000448386
LY6G6C	ENST00000428121
LY6G6C	ENST00000419939
LY6G6C	ENST00000375819
AC006499.7	ENST00000511169
BBS2	ENST00000245157
RP11-67M9.1	ENST00000520075
RP11-138H8.2	ENST00000558429
FCGR3A	ENST00000367969
FAM192A	ENST00000309137
LL0XNC01-221F2.2	ENST00000440243
GPC6-AS1	ENST00000436329
JRKL	ENST00000332349
TMSB4XP8	ENST00000380638
CNIH1	ENST00000557690
MTND4P29	ENST00000503122
CDIPT	ENST00000561555
RTEL1-TNFRSF6B	ENST00000482936
RNU6ATAC23P	ENST00000408448
RP11-355B11.2	ENST00000605437
OR10AD1	ENST00000310248
HNRNPA1P54	ENST00000411857
MIR1254-2	ENST00000579553
CSNK1D	ENST00000398519
DCPS	ENST00000263579
CTB-179I1.1	ENST00000503840
RN7SL107P	ENST00000478127
MIR370	ENST00000362135
RNU1-104P	ENST00000517280
MIR585	ENST00000384887
RP11-94C24.11	ENST00000513378
RP11-295K2.3	ENST00000429768
RP11-431J24.2	ENST00000435789
FN1	ENST00000354785
RP11-159F24.2	ENST00000511991
RP11-345J4.3	ENST00000549950
RP11-534L20.5	ENST00000562504
RPS21	ENST00000370592
FAM138F	ENST00000448235
MRPS18BP2	ENST00000434310
TMEM55A	ENST00000285419
RNU6ATAC4P	ENST00000387446
ZNF667	ENST00000342634
RP11-351O1.4	ENST00000602989
DUXAP4	ENST00000603046
MIR191	ENST00000384873
DTX2P1-UPK3BP1-PMS2P11	ENST00000584900
VRK1	ENST00000216639
RP11-6N17.3	ENST00000584276
CA1	ENST00000256119
SENP3-EIF4A1	ENST00000579777
OR5AW1P	ENST00000426334
UCP2	ENST00000310473
LCK	ENST00000333070
RASIP1	ENST00000222145
GPRIN1	ENST00000303991
NME1	ENST00000013034
SMO	ENST00000249373
RPS7P5	ENST00000441482
KRT78	ENST00000304620
RNU6-1333P	ENST00000516162
RP11-356O9.2	ENST00000553425
AP000473.8	ENST00000602659
OR9Q2	ENST00000311591
MIR4532	ENST00000582082
SLC25A15P5	ENST00000508033
KLHL14	ENST00000359358
MIR4292	ENST00000585012
MIR4261	ENST00000580325
ZSCAN5D	ENST00000600684
PPP4R2	ENST00000356692
RP11-54I5.1	ENST00000398901
AC138430.4	ENST00000586064
LL22NC03-102D1.16	ENST00000418731
RHEBL1	ENST00000301068
RP11-468E2.2	ENST00000561419
RP11-321A17.4	ENST00000582196
MBL3P	ENST00000402234
RNU6-158P	ENST00000517104
RP11-776A13.3	ENST00000551287
DYNC2H1	ENST00000398093
CTD-2525I3.2	ENST00000599775
IFNA4	ENST00000421715
RP11-338K17.8	ENST00000538837
DNAJB8	ENST00000319153
FAM90A14P	ENST00000530386
RN7SL648P	ENST00000478418
MAPKAPK5-AS1	ENST00000428207
MLLT1	ENST00000252674
RP11-300J18.2	ENST00000554433
RP11-1018N14.1	ENST00000514726
AC068858.1	ENST00000525114
SNHG10	ENST00000500370
AC005682.5	ENST00000415611
TMEM5	ENST00000261234
TRBV17	ENST00000568296
RPL13AP3	ENST00000494676
MIR3118-2	ENST00000582397
AC006499.6	ENST00000511870
RP11-588L15.1	ENST00000481627
ZFP62	ENST00000502412
RNU6-117P	ENST00000365415
RNU6-117P	ENST00000607819
RP5-1125M8.3	ENST00000422272
RP11-600F24.7	ENST00000568177
PIK3R4	ENST00000356763
CTD-2015G9.2	ENST00000562064
RP11-776A13.1	ENST00000549055
RN7SL505P	ENST00000482644
RNU6-791P	ENST00000410467
RP3-355L5.4	ENST00000452363
AHCYP8	ENST00000567846
AHCYP8	ENST00000425108
RP11-8L18.2	ENST00000399739
AC098617.1	ENST00000428980
RP11-14P20.1	ENST00000579492
RP13-36G14.3	ENST00000366220
RP11-266J6.2	ENST00000602768
UQCRHP1	ENST00000428844
UQCRHP1	ENST00000456063
UQCRHP1	ENST00000424609
UQCRHP1	ENST00000440146
UQCRHP1	ENST00000447476
UQCRHP1	ENST00000416317
RBM4B	ENST00000310046
SPDYA	ENST00000334056
MTND6P1	ENST00000417434
MIR4484	ENST00000582855
RP11-473C18.3	ENST00000565685
AC139712.2	ENST00000378256
TRDMT1	ENST00000377799
NAP1L1P1	ENST00000524793
LCE1C	ENST00000368768
CAPN7	ENST00000253693
SMURF1	ENST00000361125
DLG3-AS1	ENST00000424211
RPPH1	ENST00000554988
WASH3P	ENST00000398121
CTD-2015A6.1	ENST00000512952
DTX2	ENST00000324432
RP11-342C20.2	ENST00000607309
ACSM3	ENST00000289416
SHPK	ENST00000572705
SHPK	ENST00000225519
AC019064.1	ENST00000414796
CYP2B7P	ENST00000599198
MC2R	ENST00000327606
CTA-125H2.1	ENST00000436423
RP11-855O10.2	ENST00000506329
RP11-572P18.2	ENST00000447093
CTD-2651B20.6	ENST00000563103
LINC00355	ENST00000456627
RPL7P25	ENST00000404151
RP11-178L8.3	ENST00000569147
RP11-807G9.2	ENST00000413148
RPL7P45	ENST00000455851
RP11-747H12.5	ENST00000442655
MTMR8	ENST00000374852
CTD-2330K9.3	ENST00000419183
ITGA2B	ENST00000262407
ADAM18	ENST00000265707
RP11-370B6.1	ENST00000461229
RP11-370B6.1	ENST00000599162
CTD-2083E4.7	ENST00000563761
RP3-354N19.1	ENST00000402519
RP11-444D13.1	ENST00000451829
RP11-476H20.1	ENST00000435554
ESRRA	ENST00000000442
PPIAL4G	ENST00000419275
PPIAL4G	ENST00000585245
COX6CP5	ENST00000527162
RP11-617I14.1	ENST00000515292
NDUFV2P1	ENST00000596415
RP11-20J15.2	ENST00000437014
ABCC6	ENST00000205557
RP5-823G15.5	ENST00000558738
RP11-332H14.2	ENST00000610036
RP11-406A9.2	ENST00000555798
RP11-217E22.5	ENST00000463297
RP11-706F1.1	ENST00000514966
TMEM71	ENST00000523829
SYTL3	ENST00000297239
RNU6-922P	ENST00000516753
MIR4516	ENST00000583451
RP11-89K18.1	ENST00000419388
EPG5	ENST00000282041
RP11-276E17.2	ENST00000426519
PTCD2	ENST00000308077
HP1BP3	ENST00000312239
TRAM2	ENST00000182527
RP11-519G16.3	ENST00000560077
MIR188	ENST00000593969
MIR188	ENST00000385034
C4orf19	ENST00000284437
RP11-214K3.21	ENST00000602988
RP11-676F20.1	ENST00000532770
AC015923.1	ENST00000431604
RP11-798M19.6	ENST00000609900
CTC-543D15.1	ENST00000567299
RNA5SP52	ENST00000362448
RN7SKP42	ENST00000410913
DYNC1LI2	ENST00000258198
MYOM3	ENST00000330966
RP11-576C2.1	ENST00000586015
AC087163.2	ENST00000457299
BCDIN3D	ENST00000333924
MIR208B	ENST00000401172
AC009965.2	ENST00000411436
RP5-1100E15.4	ENST00000446931
TTC1	ENST00000231238
MIR1283-2	ENST00000408621
AC098592.7	ENST00000419352
MIR4715	ENST00000584117
RP11-7F17.5	ENST00000500215
RP11-460N20.7	ENST00000605323
ANP32D	ENST00000266594
AP004289.1	ENST00000436307
TRAJ49	ENST00000390488
ZNF83	ENST00000301096
ANKRD26P2	ENST00000445530
RP11-791G16.2	ENST00000488045
RP11-234N17.1	ENST00000457507
FIBIN	ENST00000318627
SNORD70	ENST00000391007
SNORD70	ENST00000391232
B4GALT4-AS1	ENST00000470790
RPL34P18	ENST00000466433
RP11-404I7.2	ENST00000509628
ESR1	ENST00000206249
RP11-525G13.2	ENST00000455257
RNA5SP67	ENST00000516422
RP11-736G13.1	ENST00000580927
RNA5SP114	ENST00000363780
B3GALT4	ENST00000383209
B3GALT4	ENST00000430971
B3GALT4	ENST00000451237
B3GALT4	ENST00000419471
B3GALT4	ENST00000415322
VIPR1-AS1	ENST00000452639
STEAP1	ENST00000297205
RNU6-207P	ENST00000384137
DUXAP5	ENST00000529668
RPL37P4	ENST00000448908
CDY6P	ENST00000413320
SEZ6	ENST00000317338
BLM	ENST00000355112
HNRNPA1P65	ENST00000508873
RP11-143A22.1	ENST00000457561
SNHG18	ENST00000508179
ALG11	ENST00000521508
USP46	ENST00000441222
TMEM230	ENST00000342308
RP11-393I23.3	ENST00000441183
RP11-429K17.1	ENST00000577173
TNFAIP8L1	ENST00000327473
SNORD114-3	ENST00000364969
WDHD1	ENST00000360586
ZNF549	ENST00000376233
RN7SL804P	ENST00000582466
MOXD1	ENST00000367963
SGK1	ENST00000367858
ZNF182	ENST00000600852
ZNF182	ENST00000305127
XRCC5	ENST00000392132
CCNYL1	ENST00000295414
MTND5P7	ENST00000413558
AC007126.1	ENST00000508202
SKOR1	ENST00000380035
RN7SL210P	ENST00000484688
CTD-2147F2.2	ENST00000558621
RP11-384F7.2	ENST00000484092
RNU7-113P	ENST00000459273
ATAD1	ENST00000308448
XKR8	ENST00000373884
DDIT4	ENST00000307365
RP11-893F2.15	ENST00000577175
RNVU1-14	ENST00000384770
RNVU1-14	ENST00000595178
RP1-142L7.9	ENST00000603682
RP1-142L7.9	ENST00000605658
HOXB-AS1	ENST00000435312
CTD-2231E14.8	ENST00000597983
PLCG1	ENST00000244007
RP11-797H7.1	ENST00000427545
CRMP1	ENST00000324989
RP11-205M3.3	ENST00000508313
RP11-214N15.5	ENST00000430685
AC010907.5	ENST00000441632
HSPH1	ENST00000445273
RP11-705C15.2	ENST00000575094
RP11-100N21.1	ENST00000487352
HMGN2P19	ENST00000425149
NEO1	ENST00000261908
COX6B1P6	ENST00000522347
ENKD1	ENST00000243878
RPL23AP62	ENST00000463396
ANKRD6	ENST00000339746
GATA3-AS1	ENST00000355358
SMARCA5-AS1	ENST00000500800
CRYM	ENST00000219599
RBM25	ENST00000261973
CTA-246H3.8	ENST00000433457
RELN	ENST00000424685
RP11-467P9.1	ENST00000608897
RNU6-454P	ENST00000364292
DPH5	ENST00000370109
PIK3R6	ENST00000311434
SHISA5	ENST00000296444
RP11-290C10.1	ENST00000545258
KRT18P23	ENST00000435622
RTN3	ENST00000377819
RP11-803A13.1	ENST00000605408
ULK1	ENST00000321867
